iter	Passed	Remaining
631	2317	1349
632	2320	1345
633	2323	1341
634	2326	1337
635	2328	1332
636	2332	1329
637	2335	1325
638	2338	1321
639	2341	1317
640	2344	1313
641	2347	1308
642	2350	1304
643	2353	1300
644	2356	1296
645	2359	1292
646	2362	1288
647	2365	1284
648	2368	1280
649	2371	1276
650	2374	1273
651	2377	1269
652	2380	1265
653	2383	1261
654	2386	1257
655	2389	1253
656	2392	1249
657	2395	1245
658	2398	1241
659	2401	1237
660	2404	1233
661	2407	1229
662	2410	1225
663	2413	1221
664	2416	1217
665	2419	1213
666	2422	1209
667	2425	1205
668	2428	1201
669	2431	1197
670	2436	1194
671	2440	1191
672	2443	1187
673	2446	1183
674	2449	1179
675	2452	1175
676	2455	1171
677	2458	1167
678	2461	1163
679	2464	1159
680	2467	1155
681	2470	1152
682	2474	1148
683	2477	1144
684	2480	1140
685	2483	1136
686	2486	1132
687	2489	1128
688	2492	1125
689	2495	1121
690	2498	1117
691	2501	1113
692	2504	1109
693	2507	1105
694	2510	1101
695	2513	1097
696	2516	1093
697	2519	1090
698	2522	1086
699	2525	1082
700	2528	1078
701	2531	1074
702	2534	1070
703	2537	1066
704	2540	1063
705	2543	1059
706	2546	1055
707	2549	1051
708	2553	1047
709	2556	1044
710	2559	1040
711	2563	1036
712	2606	1049
713	2613	1046
714	2620	1044
715	2627	1042
716	2633	1039
717	2651	1041
718	2655	1037
719	2666	1036
720	2673	1034
721	2677	1030
722	2680	1026
723	2683	1022
724	2686	1018
725	2689	1015
726	2692	1011
727	2695	1007
728	2698	1003
729	2701	999
730	2704	995
731	2707	991
732	2710	987
733	2714	983
734	2717	979
735	2720	975
736	2723	971
737	2725	967
738	2731	964
739	2735	961
740	2738	957
741	2741	953
742	2744	949
743	2747	945
744	2750	941
745	2753	937
746	2756	933
747	2759	929
748	2762	925
749	2765	921
750	2768	917
751	2772	914
752	2775	910
753	2778	906
754	2780	902
755	2783	898
756	2787	894
757	2790	890
758	2793	886
759	2796	882
760	2799	879
761	2802	875
762	2805	871
763	2807	867
764	2811	863
765	2814	859
766	2817	855
767	2820	851
768	2823	848
769	2826	844
770	2829	840
771	2832	836
772	2835	832
773	2838	828
774	2841	824
775	2844	821
776	2847	817
777	2850	813
778	2853	809
779	2856	805
780	2859	801
781	2865	798
782	2868	794
783	2871	791
784	2874	787
785	2877	783
786	2880	779
787	2883	775
788	2886	771
789	2889	768
790	2892	764
791	2895	760
792	2898	756
793	2901	752
794	2904	748
795	2907	745
796	2910	741
797	2913	737
798	2916	733
799	2919	729
800	2922	726
801	2925	722
802	2928	718
803	2934	715
804	2937	711
805	2940	707
806	2943	704
807	2947	700
808	2950	696
809	2953	692
810	2955	688
811	2958	685
812	2962	681
813	2965	677
814	2968	673
815	2971	670
816	2974	666
817	2977	662
818	2980	658
819	2983	654
820	2986	651
821	2989	647
822	2992	643
823	2995	639
824	2998	636
825	3001	632
826	3005	628
827	3008	624
828	3011	621
